SYS_StoreNo,TXN_Date,ECR_No,TXN_No,TXN_Item,TXN_Time,TXN_GUINo,PLU_No,DEP_No,VEN_No,CAT_No,TXN_Qty,PLU_FixPrc,PLU_SalePrc,TXN_DiscS,TXN_DiscM,TXN_DiscT,TXN_SaleAmt,TXN_SaleTax,TXN_SaleNoTax,TXN_Net,TXN_Tax,PLU_TaxType,MMP_No,MAM_No,MAM_Condition,MAM_TotAmt,MAM_CombNo,MAM_CombGrp,MAM_Method,TXN_Ref,TXN_AuthNo,TXN_AuthReason,TXN_GUIPageNo,TXN_Mode,TXN_Status,TXN_VIP,MAM_UnitPrc,MAN_ChangeNo,PLU_Disc,TXN_RebateS,TXN_RebateT,TXN_Ret_Cod,TXN_Except_Sta,PLU_MagNo,PLU_Type,PLU_Set_Code,TXN_ActualPrc,TXN_DiscP,SDEP_No,SCAT_No,TXN_Type,TXN_MINUS_GM_Amt,TXN_Coup_Disc_Amt,TXN_Sales,PLU_Health,PLU_HealthPrc,PLU_HealthBegDate,PLU_HealthEndDate,TXN_HealthAmt,TXN_DiscMebDiv,PLU_Gift,TXN_UseSalePrc,PLU_Source,MAM_UseScore,MAM_DoScore,MAM_MultiScore,TXN_DownMarginAmt,TXN_PayQuartAmt,TXN_PayQuart,CRT_Date,CRT_USR_No,UPD_Date,UPD_USR_No,PLU_Name
82102,1/16/2015 0:00,821022,66,2,1/16/2015 13:20,TN95857626,4713760043359,5,E0004K,50403,2,49,49,0,0,0,98,98,0,93.33,4.67,1,,,0,0,,,1,,,,0,R,N,N,49,,Y,0,0,,N,504038801238,1,,49,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:20,8888,,,特)B5/26孔活頁紙
82102,1/16/2015 0:00,821022,67,1,1/16/2015 13:22,TN95857627,4713750507151,5,H0018G,50504,2,90,39,0,0,0,78,78,0,74.29,3.71,1,,,0,0,,,1,,,,0,R,N,N,39,,Y,0,0,,N,505048800327,1,,39,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,隨意盒 OF-A03
82102,1/16/2015 0:00,821022,67,2,1/16/2015 13:22,TN95857627,4718055068000,5,E0508G,50504,2,75,39,0,0,0,78,78,0,74.29,3.71,1,,,0,0,,,1,,,,0,R,N,N,39,,Y,0,0,,N,505048800051,1,,39,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,開放式圓孔雜誌箱
82102,1/16/2015 0:00,821022,67,3,1/16/2015 13:22,TN95857627,6923450656181,4,U0002A,40101,1,65,49,0,0,0,49,49,0,46.67,2.33,1,,,0,0,,,1,,,,0,R,N,N,49,,Y,0,0,,N,401018603175,1,,49,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,2015月曆貼紙
82102,1/16/2015 0:00,821022,67,4,1/16/2015 13:22,TN95857627,4710367273837,5,E0501G,51114,1,50,37,0,0,0,37,37,0,35.24,1.76,1,,,0,0,,,1,,,,0,R,N,N,37,,Y,0,0,,N,511178802087,1,,37,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,3M812可再貼補充
82102,1/16/2015 0:00,821022,67,5,1/16/2015 13:22,TN95857627,4710367273820,5,E0501G,51117,1,50,37,0,0,0,37,37,0,35.24,1.76,1,,,0,0,,,1,,,,0,R,N,N,37,,Y,0,0,,N,511178802070,1,,37,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,3M812可再貼補充
82102,1/16/2015 0:00,821022,67,6,1/16/2015 13:22,TN95857627,4719271776427,4,E0017K,40805,4,5,5,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,5,,Y,0,0,,N,408058802148,1,,5,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,A4-銀點紙6色
82102,1/16/2015 0:00,821022,67,7,1/16/2015 13:22,TN95857627,4719271795114,4,E0017K,40807,10,5,5,0,0,0,50,50,0,47.62,2.38,1,,,0,0,,,1,,,,0,R,N,N,5,,Y,0,0,,N,408078800186,1,,5,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,A4-(義)星幻紙
82102,1/16/2015 0:00,821022,68,1,1/16/2015 13:22,TN95857628,4717605093172,5,E0525P,50108,1,25,18,0,0,0,18,18,0,17.14,0.86,1,,,0,0,,,1,,,,0,R,N,N,18,,Y,0,0,,N,501088805124,1,,18,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,大4K氣泡紅框資料
82102,1/16/2015 0:00,821022,69,1,1/16/2015 13:23,TN95857629,4712765873251,4,E0016K,40701,1,25,20,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,20,,Y,0,0,,N,407018808312,1,,20,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:23,8888,,,黑皮立體卡-貓咪
